Title,Price
"SponsoredSponsoredYou are seeing this ad based on the product’s relevance to your search query.Let us knowboAt Airdopes 300, Cinematic Spatial Audio, 50HRS Battery, 4Mic AI ENx, Fast Charge, App Support, Low Latency, IPX4, v5.3 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Gunmetal Black)4.0 out of 5 stars6,770Price, product page₹1,099₹1,099M.R.P: ₹6,490M.R.P:₹6,490₹6,490(83% off)Up to 5% back with Amazon Pay ICICI cardFREE deliveryFri, 10 OctOr fastest deliveryTomorrow, 9 OctArrives before DiwaliAdd to cart+2 other colors/patterns","1,099"
"SponsoredSponsoredYou are seeing this ad based on the product’s relevance to your search query.Let us knowGOBOULT Z40 True Wireless in Ear Earbuds with 60H Playtime, Zen™ ENC Mic, Low Latency Gaming, Type-C Fast Charging, Made in India, 10mm Rich Bass Drivers, IPX5, Ear Buds TWS (White)3.8 out of 5 stars39,7294K+ bought in past monthPrice, product page₹999₹999M.R.P: ₹4,999M.R.P:₹4,999₹4,999(80% off)Up to 5% back with Amazon Pay ICICI cardFREE deliveryFri, 10 OctOr fastest deliveryTomorrow, 9 OctArrives before DiwaliAdd to cart+8 other colors/patterns",999
"boAt Airdopes 311 Pro, 50H Battery, Fast Charge,ENx Tech, Transparent LID, Low Latency,Stream Ad Free Music via App Support, Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Lavender Rush)3.6 out of 5 stars25,0655K+ bought in past monthPrice, product page₹899₹899M.R.P: ₹4,990M.R.P:₹4,990₹4,990(82% off)Up to 5% back with Amazon Pay ICICI cardFREE deliveryFri, 10 OctOr fastest deliveryTomorrow, 9 OctArrives before DiwaliAdd to cart",899
"Amazon'sChoicefor ""earbuds buds""boAt Airdopes 131/8 with 60 Hrs Playback, ASAP Charge Truly Wireless Bluetooth in Ear Earbuds with Mic (Active Black)4.0 out of 5 stars3,0345K+ bought in past monthPrice, product page₹699₹699M.R.P: ₹2,990M.R.P:₹2,990₹2,990(77% off)Up to 5% back with Amazon Pay ICICI cardFREE deliveryFri, 10 OctArrives before DiwaliAdd to cart+5 other colors/patterns",699
"RATEJI Bluetooth Earbuds for All Phones, T75 Clip Ear Wireless Earphones with Mic, Bluetooth 5.3 Headphones, HD Call, Noise Cancelling, Sports, Gaming, Music, Calling, Long Battery Life (Multicolor)Price, product page₹749₹749(₹74,900₹74,900/100 g)M.R.P: ₹1,499M.R.P:₹1,499₹1,499(50% off)Up to 5% back with Amazon Pay ICICI cardFREE deliveryMon, 13 OctOr fastest deliverySun, 12 OctArrives before DiwaliAdd to cart",749
"Noise Buds VS104 Truly Wireless Earbuds with 45H of Playtime, Quad Mic with ENC, Instacharge(10 Min=200 Min), 13Mm Driver, Low Latency, BT V5.2 (Mint Green)3.8 out of 5 stars28,8584K+ bought in past monthPrice, product page₹949₹949M.R.P: ₹3,499M.R.P:₹3,499₹3,499(73% off)Up to 5% back with Amazon Pay ICICI cardFREE deliveryFri, 10 OctOr fastest deliveryTomorrow, 9 OctArrives before DiwaliAdd to cart",949
"OnePlus Nord Buds 2r True Wireless in Ear Earbuds with Mic, 12.4mm Drivers, Playback:Upto 38hr case,4-Mic Design, IP55 Rating [Deep Grey]4.2 out of 5 stars31,51130K+ bought in past monthPrice, product page₹1,599₹1,599M.R.P: ₹2,299M.R.P:₹2,299₹2,299(30% off)10% Off on select cardsFREE deliveryFri, 10 OctOr fastest deliveryTomorrow, 9 OctArrives before DiwaliAdd to cart","1,599"
"realme Buds T200 Lite Bluetooth in Ear Earbuds,4 Mic, AI ENC for Calls,48 Hours Total Playback with Fast Charging and Low Latency Gaming TWS,Google Fast Pair, with mic (Volt Black)4.0 out of 5 stars27,79310K+ bought in past monthPrice, product page₹1,399₹1,399M.R.P: ₹1,999M.R.P:₹1,999₹1,999(30% off)Up to 5% back with Amazon Pay ICICI cardFREE deliveryFri, 10 OctOr fastest deliveryTomorrow, 9 OctArrives before DiwaliAdd to cartMore Buying Choices₹1,349(4 new offers)+2","1,399"
"boAt 2025 Launch Airdopes 219, 4Mics ENx, 40H Battery, Best in Segment for Calling, Stream Ad Free Music via App Support, Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Ivory Mist)4.0 out of 5 stars1,0203K+ bought in past monthGreat Indian FestivalPrice, product page₹999₹999M.R.P: ₹3,990M.R.P:₹3,990₹3,990(75% off)Up to 5% back with Amazon Pay ICICI cardFREE deliveryFri, 10 OctOr fastest deliveryTomorrow, 9 OctArrives before DiwaliAdd to cart",999
"OnePlus Nord Buds 2r True Wireless in Ear Earbuds with Mic, 12.4mm Drivers, Playback:Upto 38hr case,4-Mic Design, IP55 Rating [ Misty Grey ]4.2 out of 5 stars31,51110K+ bought in past monthPrice, product page₹1,599₹1,599M.R.P: ₹2,299M.R.P:₹2,299₹2,299(30% off)10% Off on select cardsFREE deliveryFri, 10 OctOr fastest deliveryTomorrow, 9 OctArrives before DiwaliAdd to cart","1,599"
"SponsoredSponsoredYou are seeing this ad based on the product’s relevance to your search query.Let us knowNoise Master Buds, Sound by Bose in-Ear Bluetooth Earbuds, Up to 49dB Adaptive ANC, LHDC 5.0, Immersive Spatial Audio, 44H Playtime with 6 mic ENC, Dual Pairing, IPX5 Ear Buds TWS (Onyx)4.0 out of 5 stars1,139500+ bought in past monthPrice, product page₹5,999₹5,999M.R.P: ₹7,999M.R.P:₹7,999₹7,999(25% off)Up to 5% back with Amazon Pay ICICI cardFREE deliveryFri, 10 OctOr fastest deliveryTomorrow, 9 OctArrives before DiwaliAdd to cart+2 other colors/patterns","5,999"
"SponsoredSponsoredYou are seeing this ad based on the product’s relevance to your search query.Let us knowMivi DuoPods i2 True Wireless Earbuds - 45H+ Playtime, HD Calls, Fast Charging, 13mm Bass Drivers, IPX4 Sweatproof, v5.3 Bluetooth in Ear Ear Buds Wireless, Made in India3.8 out of 5 stars5,7814K+ bought in past monthGreat Indian FestivalPrice, product page₹599₹599M.R.P: ₹2,999M.R.P:₹2,999₹2,999(80% off)Up to 5% back with Amazon Pay ICICI cardFREE deliveryFri, 10 OctArrives before DiwaliAdd to cart+3 other colors/patterns",599
"boAt Airdopes 300, Cinematic Spatial Audio, 50HRS Battery, 4Mic AI ENx, Fast Charge, App Support, Low Latency, IPX4, v5.3 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Gunmetal Black)4.0 out of 5 stars6,770Price, product page₹1,099₹1,099M.R.P: ₹6,490M.R.P:₹6,490₹6,490(83% off)Up to 5% back with Amazon Pay ICICI cardFREE deliveryFri, 10 OctOr fastest deliveryTomorrow, 9 OctArrives before DiwaliAdd to cart","1,099"
"GOBOULT Z20 Pro Made in India Ear Buds Wireless with 60H Playtime, 4 Mics for Clear Calling, 45ms Low Latency Gaming, IPX5, 13mm Bass Driver Earbuds Buds TWS Bluetooth Wireless Earphones(Powder Blue)4.0 out of 5 stars6,5532K+ bought in past monthPrice, product page₹899₹899M.R.P: ₹5,999M.R.P:₹5,999₹5,999(85% off)Up to 5% back with Amazon Pay ICICI cardFREE deliveryFri, 10 OctArrives before DiwaliAdd to cart",899
"boAt Airdopes Joy, 35Hrs Battery, Fast Charge, IWP Tech, Low Latency, 2Mic ENx, Type-C Port, v5.3 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Swedish White)3.9 out of 5 stars4,7525K+ bought in past monthPrice, product page₹899₹899M.R.P: ₹3,490M.R.P:₹3,490₹3,490(74% off)Up to 5% back with Amazon Pay ICICI cardFREE deliveryAdd to cart",899
"boAt Airdopes 121 Pro Plus,100H Battery,4Mics ENx,Low Latency,Fast Charge, LED Display, Stream Ad Free Music via App Support, Bluetooth in Ear Earbuds, TWS Ear Buds Wireless Earphones with mic (Black)3.7 out of 5 stars26,0305K+ bought in past monthPrice, product page₹999₹999M.R.P: ₹4,990M.R.P:₹4,990₹4,990(80% off)Up to 5% back with Amazon Pay ICICI cardFREE deliveryFri, 10 OctOr fastest deliveryTomorrow, 9 OctArrives before DiwaliAdd to cart",999
"Boat Airdopes Joy, 35Hrs Battery, Fast Charge, IWP Tech, Low Latency, 2Mic ENx, Type-C Port, v5.3 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic(Jet Black)3.9 out of 5 stars4,7525K+ bought in past monthPrice, product page₹799₹799M.R.P: ₹3,490M.R.P:₹3,490₹3,490(77% off)Up to 5% back with Amazon Pay ICICI cardFREE deliveryFri, 10 OctOr fastest deliveryTomorrow, 9 OctArrives before DiwaliAdd to cart",799
"OnePlus Nord Buds 3 Pro Truly Wireless Bluetooth in Ear Earbuds with Upto 49Db Active Noise Cancellation,12.4Mm Dynamic Drivers,10Mins for 11Hrs Fast Charging with Upto 44Hrs Music Playback[Black]4.2 out of 5 stars10,31430K+ bought in past monthPrice, product page₹2,699₹2,699M.R.P: ₹3,699M.R.P:₹3,699₹3,699(27% off)10% Off on select cardsFREE deliveryFri, 10 OctOr fastest deliveryTomorrow, 9 OctArrives before DiwaliAdd to cart","2,699"
"Noise Buds N1 Truly Wireless Earbuds with Chrome Finish, 40H of Playtime, Quad Mic with ENC, Ultra Low Latency Gaming (Up to 40 Ms), Instacharge(10 Min=120 Min), Bluetooth V5.3(Carbon Black)3.9 out of 5 stars12,0375K+ bought in past monthPrice, product page₹899₹899M.R.P: ₹3,499M.R.P:₹3,499₹3,499(74% off)Up to 5% back with Amazon Pay ICICI cardFREE deliveryFri, 10 OctOr fastest deliveryTomorrow, 9 OctArrives before DiwaliAdd to cart",899
"boAt 2025 Launch Airdopes Plus 311,Glass Design,ENx Tech,50 H Battery, Fast Charge, Stream Ad Free Music via App Support, Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Midnight Black)3.8 out of 5 stars4,2935K+ bought in past monthGreat Indian FestivalPrice, product page₹799₹799M.R.P: ₹3,990M.R.P:₹3,990₹3,990(80% off)Up to 5% back with Amazon Pay ICICI cardFREE deliveryFri, 10 OctOr fastest deliveryTomorrow, 9 OctArrives before DiwaliAdd to cart",799
"SponsoredSponsoredYou are seeing this ad based on the product’s relevance to your search query.Let us knowGOBOULT Astra Neo Bluetooth in Ear Earbuds with 70H Playtime, 40mm Bass Driver, Zen ENC Mic, Type-C Fast Charging, 4 EQ Modes, Bluetooth 5.4, Low Latency Gaming, Made in India, Wireless Earbud (White)4.0 out of 5 stars5471K+ bought in past monthPrice, product page₹1,099₹1,099M.R.P: ₹3,499M.R.P:₹3,499₹3,499(69% off)Up to 5% back with Amazon Pay ICICI cardFREE deliveryFri, 10 OctOr fastest deliveryTomorrow, 9 OctArrives before DiwaliAdd to cart+1 other color/pattern","1,099"
"SponsoredSponsoredYou are seeing this ad based on the product’s relevance to your search query.Let us knowMivi SuperPods Immersio[Flagship Launch] | Dolby Audio, 3D Soundstage, 60H Battery, AI-ENC Mic, BT 5.4 | Ear Buds Wireless with Deep Bass, Fast Charging, in-Ear Bluetooth Earbuds3.7 out of 5 stars2,6212K+ bought in past monthGreat Indian FestivalPrice, product page₹1,799₹1,799M.R.P: ₹6,499M.R.P:₹6,499₹6,499(72% off)6% off coupon appliedSave 6%with couponFREE deliveryFri, 10 OctOr fastest deliveryTomorrow, 9 OctArrives before DiwaliAdd to cart+3 other colors/patterns","1,799"
